sample_id,y_true,gine_seed_1,gine_seed_2,gine_seed_3,gine_prediction,gine_seed_standard_deviation,xgboost_y_true,xgboost_prediction,nearest_train_similarity,nearest_train_sample_id,smiles,in_druglike_scope,molecular_weight,scaffold,scaffold_status,similarity_bin,molecular_weight_bin,druglike_status,gine_absolute_error,xgboost_absolute_error,gine_error_advantage,better_model
AQSOL_01918,-2.499798059463501,-2.0436036586761475,0.3333125114440918,-2.195008993148804,-1.3017667134602866,1.4180422940138708,-2.499798,-7.615815,0.75,AQSOL_00102,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Cl].[Cl].[Rh].[Rh],False,493.086,C1=CCCC=CCC1.C1=CCCC=CCC1,unseen_cyclic_scaffold,0.70-0.85,400-600,outside_drug_like_scope,1.1980313460032144,5.116016940536499,3.917985594533284,GINE
AQSOL_00910,-0.3038119077682495,-0.3265964984893799,-1.3519129753112793,-0.3845875263214111,-0.6876990000406901,0.5759565031630627,-0.3038119,-4.1769176,0.19047619047619047,AQSOL_04548,F[B-](F)(F)F.F[B-](F)(F)F.F[N+]12CC[N+](CCl)(CC1)CC2,False,354.262,C1C[NH+]2CC[NH+]1CC2,unseen_cyclic_scaffold,<0.30,200-400,outside_drug_like_scope,0.38388709227244056,3.873105692231751,3.4892185999593104,GINE
AQSOL_03413,-6.947445392608643,-7.820460319519043,-5.713335990905762,-3.2771449089050293,-5.603647073109944,2.2736429961839018,-6.9474454,-2.2420793,0.2,AQSOL_03811,O=[Nb](=O)O[Nb](=O)=O,False,265.807,,acyclic,<0.30,200-400,outside_drug_like_scope,1.3437983194986982,4.705366092608642,3.361567773109944,GINE
AQSOL_02541,-1.3909846544265747,-1.6262561082839966,-1.5908969640731812,-1.4081730842590332,-1.541775385538737,0.11704592453500832,-1.3909847,-4.8825436,0.5,AQSOL_02395,CCNc1cc2[o+]c3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OC)c2cc1C.[Cl-],False,464.993,c1ccc(-c2c3ccccc3[o+]c3ccccc23)cc1,seen_cyclic_scaffold,0.50-0.70,400-600,outside_drug_like_scope,0.15079073111216235,3.4915589455734253,3.3407682144612627,GINE
AQSOL_00143,-2.402069330215454,-2.2382657527923584,-2.0897836685180664,-2.8857312202453613,-2.404593547185262,0.42323968110974036,-2.4020693,-5.5186586,0.5,AQSOL_01133,[Mg+2],False,24.305,,acyclic,0.50-0.70,<200,outside_drug_like_scope,0.0025242169698080907,3.116589269784546,3.114065052814738,GINE
AQSOL_01514,-5.0489115715026855,-4.008050441741943,-4.136435508728027,-4.153308868408203,-4.099264939626058,0.07944331963678572,-5.0489116,-1.0937045,0.16666666666666666,AQSOL_03638,O.[K].[Li].[Ti],False,111.921,,acyclic,<0.30,<200,outside_drug_like_scope,0.9496466318766279,3.9552070715026852,3.0055604396260573,GINE
AQSOL_02199,-1.0196139812469482,-0.6347513198852539,0.4190661907196045,-0.8908325433731079,-0.36883922417958576,0.6942554323707938,-1.019614,-4.6445513,0.26,AQSOL_09415,CCCCC1=NC(=O)C2(CCCC2)N1.CCCCC1=NC2(CCCC2)C(=O)N1.Cl.Cl,False,461.478,O=C1N=CNC12CCCC2.O=C1NC=NC12CCCC2,unseen_cyclic_scaffold,<0.30,400-600,outside_drug_like_scope,0.6507747570673625,3.6249373187530516,2.974162561685689,GINE
AQSOL_02844,-2.8923561573028564,-4.111032485961914,-4.009376049041748,-4.071896076202393,-4.064101537068685,0.05127449582449445,-2.8923562,-6.672393,0.4482758620689655,AQSOL_03454,CO[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC)OC,True,468.282,,acyclic,0.30-0.50,400-600,drug_like,1.1717453797658282,3.780036842697143,2.608291462931315,GINE
AQSOL_05528,-13.171899795532228,-10.20984935760498,-9.389580726623535,-10.17124366760254,-9.923557917277018,0.4628405016080391,-13.1719,-7.478366,0.5185185185185185,AQSOL_03700,ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C1(Cl)C(Cl)=C(Cl)C4(Cl)C1(Cl)Cl,True,653.73,C1=CC2CC1C1CCC3C4C=CC(C4)C3CCC21,unseen_cyclic_scaffold,0.50-0.70,>=600,drug_like,3.2483418782552107,5.693533795532228,2.4451919172770173,GINE
AQSOL_01581,-6.578940391540527,-8.820940971374512,-6.966666221618652,-6.24980354309082,-7.345803578694661,1.3268367534961694,-6.5789404,-3.4886286,0.7272727272727273,AQSOL_01058,O=[Si]([O-])O.O=[Si]([O-])O.O=[Si]([O-])[O-].O=[Si]([O-])[O-].[Mg+2].[Mg+2].[Mg+2],False,379.263,,acyclic,0.70-0.85,200-400,outside_drug_like_scope,0.7668631871541338,3.090311791540527,2.3234486043863933,GINE
AQSOL_01481,-4.742403030395508,-3.763440370559693,-2.694643497467041,-2.2537007331848145,-2.903928200403849,0.776323713619337,-4.742403,-0.60233426,0.1111111111111111,AQSOL_08601,B12B3B4B1C234,True,55.259,B12B3B4B1C234,unseen_cyclic_scaffold,<0.30,<200,drug_like,1.8384748299916587,4.140068770395508,2.301593940403849,GINE
AQSOL_00679,-0.2351938188076019,-2.352975368499756,-2.8739688396453857,-3.0284647941589355,-2.751803000768026,0.35392776125333675,-0.23519382,-4.963217,0.4,AQSOL_02876,CC(O)C(=O)O.CCCCC(CC)COC(=O)Nc1ccc(C)c(NC(=O)OCCN(C)C)c1,False,483.606,c1ccccc1,seen_cyclic_scaffold,0.30-0.50,400-600,outside_drug_like_scope,2.516609181960424,4.728023181192398,2.2114139992319743,GINE
AQSOL_03342,-5.668842315673828,-7.040098190307617,-5.582850933074951,-5.022175312042236,-5.881708145141602,1.0416284897024937,-5.6688423,-3.2954435,0.9230769230769231,AQSOL_02591,O=P([O-])([O-])OP(=O)([O-])OP(=O)([O-])[O-].[Al+3],False,279.894,,acyclic,>=0.85,200-400,outside_drug_like_scope,0.21286582946777344,2.373398815673828,2.1605329862060545,GINE
AQSOL_02820,-2.386500835418701,-2.1769039630889893,-2.39704966545105,-2.35719633102417,-2.3103833198547363,0.11730143254957875,-2.3865008,-0.24338937,0.9,AQSOL_03202,CC(=O)[O-].CC(=O)[O-].[Pd+2],False,224.508,,acyclic,>=0.85,200-400,outside_drug_like_scope,0.07611751556396484,2.143111465418701,2.0669939498547363,GINE
AQSOL_01346,-4.8251166343688965,-4.216869354248047,-3.758061408996582,-5.104008674621582,-4.359646479288737,0.6842386214158166,-4.8251166,-2.3042705,1.0,AQSOL_04095,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,True,296.156,C1NCNCNCN1,unseen_cyclic_scaffold,>=0.85,200-400,drug_like,0.4654701550801592,2.5208461343688966,2.0553759792887374,GINE
AQSOL_01110,-0.4792340099811554,-2.382906675338745,-3.99287486076355,-1.6835641860961914,-2.686448574066162,1.1842010856461147,-0.479234,-4.5386276,0.391304347826087,AQSOL_03908,CC/C(C)=N/O[Si](C)(O/N=C(\C)CC)O/N=C(\C)CC,True,301.463,,acyclic,0.30-0.50,200-400,drug_like,2.2072145640850067,4.0593935900188445,1.8521790259338378,GINE
AQSOL_01121,-4.559762477874756,-2.304627656936645,-2.0351147651672363,-2.1250503063201904,-2.154930909474691,0.13721857578744504,-4.5597625,-0.36916184,0.8888888888888888,AQSOL_02384,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Bi+3],False,398.079,,acyclic,>=0.85,200-400,outside_drug_like_scope,2.404831568400065,4.190600637874756,1.7857690694746906,GINE
AQSOL_04512,0.1773000061511993,0.5598726272583008,0.4132344722747803,0.2919209003448486,0.4216759999593099,0.13417517106831586,0.1773,-1.7773993,0.875,AQSOL_02219,O=C([O-])C(=O)[O-].[K+].[K+],False,166.214,,acyclic,>=0.85,<200,outside_drug_like_scope,0.24437599380811056,1.9546993061511992,1.7103233123430888,GINE
AQSOL_02026,0.438861221075058,0.4525492191314697,0.9829187393188475,-0.0106325149536132,0.4749451478322347,0.4971541078311355,0.43886122,-1.2847835,0.6,AQSOL_02480,NS(=O)(=O)[O-].NS(=O)(=O)[O-].[Ca+2],False,232.252,,acyclic,0.50-0.70,200-400,outside_drug_like_scope,0.0360839267571767,1.723644721075058,1.6875607943178814,GINE
